ItemNumber,ShippingReportWeight
E2444,0.231332109
E2020,0.285
E1544,0.132
E2430,0.201
E6130,0.284
E1678,0.259
E3418,0.2554
E3949,0.183
E3833,0.115666054
E6116,0.235
E2384,0.281
E3008,0.201
E4042,0.149685482
E1177,0.279866492
E3108,0.081
E3105,0.1581
11526,0.0029484
A8402,0.59
A7071,0.834
A10830,0.454
A10235,6.56
17889,0.003
E5639,0.682
A5418,0.26988746
A4587,0.232692886
A3085,0.172
A3244,0.198
A4727,0.31388592
A4622,0.130634603
A4462,0.1252
A4363,0.251743765
A5698,0.168736362
A5396,0.20094142
A6380,0.268526683
A6804,0.18189054
A6673,0.186880056
A8606,2.31
A4843,0.409140318
A8603,3.54
A1508,2.268
A7634,0.484890244
E2003,0.0454
E3200,0.168
A3319,0.592
A3994,30.03371159
A4150,0.142
A8459,3.15
A4023,4.53
A4685,0.416
E5447,0.139
E5314,0.27
A5633,0.315246697
A4299,0.239
A10508,0.376
A4380,0.2276
A4679,0.1206
A10527,0.1386
A5323,0.210920452
A4972,0.307
A10195,0.4896
A10564,0.3948
A7096,0.444
A4667,0.224981816
A5076,0.755684888
13610,0.027
20224,0.009
A3071,0.263
15736,0.016
18874,0.141
A8347,0.72
A1964,0.351080494
A4128,1.07365314
A5523,2.3
A5520,1.279584076
A6835,1.249646979
A5749,0.3505
A10529,0.2408
E3226,0.636
A5770,0.125645086
A5736,0.21046686
A8841,1.463
A4352,0.404604394
A2828,0.622782324
A4533,0.381471183
A7483,0.2451
A7059,0.4238
A7003,0.7061
E3759,0.5
A10629,0.3767
A10737,0.8557
A5018,0.316153882
A5750,0.3505
A5802,0.617
E3956,0.25
E3687,0.456
A4278,0.421
A10521,0.3796
E3314,0.192
E3291,0.388
A4313,0.245847065
169663,1.327
A8645,0.434
A5108,0.41
A5151,3.519876791
E5433,2.183
170153,0.136
A2081,1.42972315
A4951,0.04399846
A5640,0.093893621
A4489,0.131088195
A3330,0.106
A10912,0.13
A3289,0.196
19110,0.03
A6968,5.41
E2999,0.287577563
E3806,0.171
E2286,1.52
E3429,0.299
E2491,0.456
E2278,0.9613
E1512,0.735
E1760,1.579862225
E6074,1.19
E3310,0.407
E2070,2.13
E3043,0.307989219
E3169,0.345
A3949,0.035833797
A1430,23.5
A6983,0.185972872
A4287,0.2013
A3488,0.567897647
A7384,0.3134
A4490,0.284402416
